calc_time,funding_interval_hours,last_funding_rate
1704067200000,4,0.00018460
1704081600000,4,0.00017595
1704096000000,4,0.00023729
1704110400000,4,0.00026237
1704124800000,4,0.00023860
1704139200000,4,0.00025027
1704153600000,4,0.00032609
1704168000000,4,0.00056316
1704182400000,4,0.00042206
1704196800000,4,0.00071339
1704211200000,4,0.00049566
1704225600000,4,0.00015131
1704240000000,4,0.00010657
1704254400000,4,0.00019369
1704268800000,4,0.00015258
1704283200000,4,0.00010570
1704297600000,4,0.00005000
1704312000000,4,0.00005000
1704326400000,4,0.00005000
1704340800000,4,0.00005000
1704355200000,4,0.00005000
1704369600000,4,0.00005000
1704384000000,4,0.00005000
1704398400000,4,0.00018501
1704412800001,4,0.00005000
1704427200000,4,0.00005000
1704441600000,4,0.00005000
1704456000000,4,0.00005000
1704470400000,4,0.00005000
1704484800000,4,0.00005000
1704499200000,4,0.00005000
1704513600000,4,0.00005000
1704528000000,4,0.00005000
1704542400000,4,0.00005000
1704556800000,4,0.00005000
1704571200000,4,0.00005000
1704585600000,4,0.00005000
1704600000000,4,0.00005000
1704614400001,4,0.00005000
1704628800000,4,0.00005000
1704643200001,4,0.00005000
1704657600000,4,0.00005000
1704672000000,4,0.00005000
1704686400000,4,0.00005000
1704700800000,4,0.00005000
1704715200000,4,-4.4E-7
1704729600000,4,0.00005000
1704744000000,4,0.00005000
1704758400001,4,0.00005000
1704772800000,4,-0.00017409
1704787200000,4,0.00005000
1704801600000,4,0.00005000
1704816000000,4,0.00005000
1704830400000,4,0.00005000
1704844800000,4,0.00005000
1704859200000,4,0.00005000
1704873600000,4,0.00005000
1704888000000,4,0.00005000
1704902400000,4,0.00005000
1704916800000,4,-0.00003543
1704931200000,4,0.00005000
1704945600000,4,0.00005000
1704960000000,4,-0.00022278
1704974400000,4,0.00005000
1704988800000,4,0.00005000
1705003200000,4,0.00005000
1705017600001,4,-0.00002935
1705032000000,4,0.00005000
1705046400000,4,-0.00013471
1705060800001,4,-0.00011130
1705075200000,4,-0.00010965
1705089600000,4,0.00005000
1705104000000,4,0.00005000
1705118400000,4,0.00005000
1705132800000,4,0.00005000
1705147200000,4,0.00005000
1705161600001,4,-0.00007521
1705176000000,4,0.00005000
1705190400000,4,-0.00003805
1705204800000,4,0.00005000
1705219200000,4,-0.00031822
1705233600000,4,-0.00080504
1705248000001,4,0.00005000
1705262400000,4,-0.00000643
1705276800000,4,-0.00010597
1705291200000,4,-0.00047712
1705305600000,4,-0.00017681
1705320000000,4,-0.00010686
1705334400000,4,0.00005000
1705348800000,4,-0.00008275
1705363200000,4,-0.00062580
1705377600000,4,-0.00049641
1705392000000,4,-0.00031900
1705406400001,4,-0.00029097
1705420800001,4,0.00005000
1705435200000,4,0.00005000
1705449600000,4,0.00005000
1705464000000,4,0.00005000
1705478400000,4,0.00005000
1705492800000,4,0.00005000
1705507200000,4,0.00005000
1705521600000,4,0.00005000
1705536000001,4,0.00005000
1705550400000,4,0.00005000
1705564800000,4,0.00005000
1705579200000,4,0.00005000
1705593600000,4,0.00005000
1705608000000,4,0.00005000
1705622400000,4,0.00005000
1705636800000,4,0.00005000
1705651200000,4,0.00005000
1705665600000,4,-0.00029092
1705680000002,4,0.00005000
1705694400000,4,-0.00010772
1705708800000,4,0.00005000
1705723200000,4,0.00005000
1705737600003,4,-0.00012940
1705752000000,4,-0.00017066
1705766400000,4,-0.00018141
1705780800000,4,-0.00033964
1705795200000,4,-0.00015608
1705809600000,4,-0.00021191
1705824000000,4,-0.00020159
1705838400000,4,-0.00012656
1705852800000,4,-0.00020463
1705867200000,4,-0.00018847
1705881600000,4,-0.00020968
1705896000001,4,-0.00020944
1705910400000,4,-0.00019327
1705924800000,4,-0.00022980
1705939200000,4,-0.00007813
1705953600000,4,0.00005000
1705968000000,4,0.00005000
1705982400000,4,0.00005000
1705996800000,4,0.00005000
1706011200000,4,0.00002427
1706025600000,4,-0.00020757
1706040000000,4,-0.00078572
1706054400000,4,-0.00168342
1706068800000,4,-0.00078472
1706083200000,4,-0.00038941
1706097600000,4,-0.00114998
1706112000000,4,-0.00051930
1706126400000,4,-0.00008698
1706140800000,4,-0.00053989
1706155200000,4,-0.00028842
1706169600001,4,-0.00009725
1706184000000,4,-0.00008661
1706198400000,4,0.00005000
1706212800000,4,-0.00029222
1706227200001,4,-0.00038327
1706241600001,4,-0.00045338
1706256000000,4,-0.00020236
1706270400000,4,-0.00015994
1706284800000,4,-0.00000905
1706299200000,4,0.00002871
1706313600000,4,-0.00004933
1706328000000,4,-0.00019665
1706342400000,4,-0.00038981
1706356800000,4,-0.00039906
1706371200000,4,-0.00030575
1706385600000,4,-0.00012913
1706400000000,4,-0.00027161
1706414400000,4,-0.00027063
1706428800000,4,-0.00029453
1706443200000,4,-0.00021931
1706457600000,4,-0.00045987
1706472000000,4,-0.00026721
1706486400000,4,-0.00017840
1706500800001,4,-0.00022359
1706515200001,4,-0.00012730
1706529600000,4,-0.00017351
1706544000000,4,-0.00012861
1706558400000,4,-0.00028981
1706572800000,4,-0.00016269
1706587200000,4,-0.00019713
1706601600000,4,-0.00035259
1706616000000,4,-0.00015254
1706630400001,4,-0.00018116
1706644800000,4,-0.00016770
1706659200000,4,-0.00010710
1706673600001,4,-0.00022972
1706688000000,4,-0.00022511
1706702400000,4,-0.00001307
1706716800000,4,0.00005000
1706731200000,4,0.00004325
1709251200000,4,0.00026998
1709265600000,4,0.00044709
1709280000000,4,0.00043320
1709294400000,4,0.00029355
1709308800000,4,0.00026857
1709323200000,4,0.00047360
1709337600000,4,0.00037050
1709352000001,4,0.00071032
1709366400001,4,0.00072345
1709380800000,4,0.00081442
1709395200000,4,0.00055891
1709409600000,4,0.00073769
1709424000000,4,0.00078872
1709438400000,4,0.00075440
1709452800000,4,0.00037725
1709467200000,4,0.00028516
1709481600000,4,0.00042131
1709496000000,4,0.00043801
1709510400000,4,0.00045662
1709524800001,4,0.00051592
1709539200000,4,0.00069320
1709553600000,4,0.00052552
1709568000000,4,0.00045185
1709582400000,4,0.00040570
1709596800000,4,0.00046268
1709611200000,4,0.00094571
1709625600000,4,0.00066816
1709640000000,4,0.00091778
1709654400000,4,0.00058653
1709668800000,4,0.00006426
1709683200000,4,0.00005000
1709697600000,4,0.00005000
1709712000001,4,0.00021177
1709726400000,4,0.00012894
1709740800000,4,0.00012374
1709755200000,4,0.00017141
1709769600000,4,0.00018709
1709784000000,4,0.00030960
1709798400000,4,0.00043346
1709812800001,4,0.00030202
1709827200000,4,0.00028025
1709841600000,4,0.00040784
1709856000000,4,0.00056495
1709870400000,4,0.00039457
1709884800000,4,0.00035565
1709899200000,4,0.00043317
1709913600000,4,0.00048582
1709928000000,4,0.00042271
1709942400000,4,0.00035766
1709956800000,4,0.00040412
1709971200001,4,0.00061872
1709985600001,4,0.00060772
1710000000000,4,0.00071970
1710014400000,4,0.00054745
1710028800000,4,0.00082335
1710043200000,4,0.00041638
1710057600000,4,0.00074964
1710072000000,4,0.00037997
1710086400000,4,0.00025148
1710100800000,4,0.00025803
1710115200000,4,0.00023882
1710129600000,4,0.00032593
1710144000000,4,0.00038764
1710158400000,4,0.00042893
1710172800000,4,0.00036666
1710187200001,4,0.00049805
1710201600000,4,0.00067441
1710216000000,4,0.00069667
1710230400000,4,0.00036385
1710244800000,4,0.00031260
1710259200000,4,0.00028178
1710273600000,4,0.00028017
1710288000000,4,0.00018878
1710302400000,4,0.00032922
1710316800001,4,0.00044339
1710331200000,4,0.00044795
1710345600000,4,0.00038265
1710360000000,4,0.00037368
1710374400001,4,0.00050597
1710388800000,4,0.00050535
1710403200000,4,0.00051361
1710417600000,4,0.00050498
1710432000000,4,0.00044424
1710446400001,4,0.00031348
1710460800000,4,0.00047635
1710475200000,4,0.00033186
1710489600000,4,0.00014834
1710504000000,4,0.00005000
1710518400000,4,0.00005000
1710532800000,4,0.00006761
1710547200000,4,0.00005000
1710561600000,4,0.00015888
1710576000000,4,0.00005000
1710590400000,4,0.00024653
1710604800000,4,0.00021459
1710619200000,4,0.00005000
1710633600000,4,0.00005000
1710648000000,4,0.00005000
1710662400000,4,0.00005000
1710676800000,4,0.00005000
1710691200000,4,0.00009828
1710705600000,4,0.00005000
1710720000000,4,0.00005000
1710734400001,4,0.00018626
1710748800000,4,0.00005000
1710763200000,4,0.00023608
1710777600001,4,0.00028911
1710792000001,4,0.00006350
1710806400000,4,0.00026858
1710820800000,4,0.00019140
1710835200000,4,0.00005000
1710849600000,4,0.00005000
1710864000001,4,0.00005000
1710878400000,4,0.00005000
1710892800000,4,0.00005000
1710907200000,4,0.00005000
1710921600004,4,0.00005000
1710936000001,4,0.00005000
1710950400000,4,0.00005000
1710964800000,4,0.00005000
1710979200000,4,0.00005000
1710993600000,4,0.00005000
1711008000000,4,0.00005000
1711022400013,4,0.00014573
1711036800000,4,0.00011374
1711051200000,4,0.00015016
1711065600000,4,0.00021161
1711080000000,4,0.00009725
1711094400000,4,0.00020422
1711108800000,4,0.00015890
1711123200000,4,0.00005000
1711137600000,4,0.00005525
1711152000000,4,0.00005000
1711166400000,4,0.00013557
1711180800000,4,0.00023008
1711195200000,4,0.00017329
1711209600000,4,0.00009416
1711224000000,4,0.00022773
1711238400000,4,0.00005000
1711252800001,4,0.00005094
1711267200000,4,0.00023306
1711281600000,4,0.00015053
1711296000000,4,0.00017138
1711310400000,4,0.00017117
1711324800000,4,0.00005000
1711339200000,4,0.00007680
1711353600001,4,0.00008380
